Time,W Spd m/s,W Dir,STD W Dir,Temp 2m,Temp 8m,Glob Rad W/m2,Rel Hum %
01/01/2011 00:00,4.27534,286.253,27.84,4.80183,6.35999,,87.8999
01/01/2011 01:00,4.12395,287.499,23.1,4.84593,6.265,,90.2999
01/01/2011 02:00,3.97256,288.84,17.65,4.89002,6.167,,92.1
01/01/2011 03:00,3.82116,290.287,12.53,4.93412,6.03899,,90.8999
01/01/2011 04:00,3.7851,292.902,22.83,4.92854,6.203,,91.8999
01/01/2011 05:00,3.74905,295.573,13.89,4.92297,6.868,,90.1
01/01/2011 06:00,3.71299,298.29,19.09,4.9174,6.79099,0.106,91.2999
01/01/2011 07:00,4.30508,334.42,19.85,4.59518,6.754,0.089,91.2
01/01/2011 08:00,4.89718,8.74167,16.76,4.27295,7.07999,,89.8999
01/01/2011 09:00,5.48927,27.3265,17.33,3.95072,5.84399,4.33199,92.8999
01/01/2011 10:00,5.07758,23.6801,18.49,3.81708,4.85699,93.2999,91.2999
01/01/2011 11:00,4.66588,19.362,21.99,3.68344,4.93999,42.89,86.1
01/01/2011 12:00,4.25417,14.2333,16.43,3.5498,4.361,43.8799,86.6
01/01/2011 13:00,4.13996,13.8629,18.02,3.26593,4.56499,55.73,83.7
01/01/2011 14:00,4.02574,13.4713,20.78,2.98207,4.731,50.34,77.7
01/01/2011 15:00,3.91152,13.057,16.46,2.6982,4.49799,18.49,78
01/01/2011 16:00,4.03434,11.2381,21.18,2.25557,4.30299,5.252,78.2999
01/01/2011 17:00,4.15716,9.52522,20.07,1.81294,4.10799,,74.8999
01/01/2011 18:00,4.27998,7.91217,17.57,1.37031,3.744,,75.7
01/01/2011 19:00,4.16934,4.9303,19.27,0.365758,3.389,,74.6
01/01/2011 20:00,4.0587,1.77588,20.69,-0.638793,2.914,,76
01/01/2011 21:00,3.94806,358.454,15.17,-1.64334,2.645,,74.5
01/01/2011 22:00,3.61878,351.387,13.98,-1.73214,3.028,,70.7
01/01/2011 23:00,3.2895,342.676,17.16,-1.82094,2.906,,69.0299
02/01/2011 00:00,2.96022,332.229,17.51,-1.90974,2.862,,68.7699
02/01/2011 01:00,3.07228,332.322,20.83,-1.84036,2.779,,68.37
02/01/2011 02:00,3.18435,332.409,14.97,-1.77099,2.586,,68.87
02/01/2011 03:00,3.29641,332.489,17.8,-1.70161,2.763,,64.87
02/01/2011 04:00,3.24897,334.029,11.51,-1.94442,2.729,,62.96
02/01/2011 05:00,3.20154,335.615,14.05,-2.18722,2.542,,64.2999
02/01/2011 06:00,3.1541,337.248,10.75,-2.43003,2.826,,60.7599
02/01/2011 07:00,3.05951,336.098,24.01,-2.53576,2.399,,64.5299
02/01/2011 08:00,2.96492,334.875,20.49,-2.64148,2.363,,64.0299
02/01/2011 09:00,2.87034,333.572,12.13,-2.74721,2.137,11.29,66.4299
02/01/2011 10:00,3.15685,331.429,17.34,-1.16768,2.054,57,67.7699
02/01/2011 11:00,3.44336,329.641,24.58,0.411846,2.94,72.5,63.9
02/01/2011 12:00,3.72986,328.13,23.5,1.99137,3.404,64.6399,60.6299
02/01/2011 13:00,3.1365,326.951,18.36,1.72328,3.523,61.3199,60.23
02/01/2011 14:00,2.54313,325.221,16.94,1.45519,3.216,48.6,61.06
02/01/2011 15:00,1.94977,322.438,21.74,1.1871,3.141,21.68,62.7
02/01/2011 16:00,2.04882,319.194,14.71,0.00451393,2.908,1.681,63.93
02/01/2011 17:00,2.14787,316.241,25.91,-1.17807,2.8,,66.0299
02/01/2011 18:00,2.24692,313.557,15.57,-2.36066,2.509,,65.87
02/01/2011 19:00,2.17018,315.873,26.11,-2.77937,2.432,,66.23
02/01/2011 20:00,2.09344,318.363,20.98,-3.19809,2.453,,65.73
02/01/2011 21:00,2.01671,321.038,21.36,-3.6168,2.354,,64.83
02/01/2011 22:00,1.98405,313.759,13.91,-3.60913,2.203,,65.5
02/01/2011 23:00,1.95138,306.099,26.56,-3.60147,2.133,,63.4
03/01/2011 00:00,1.91872,298.313,26.63,-3.5938,2.059,,61.53
03/01/2011 01:00,1.85786,294.57,21.65,-3.59379,1.836,,64.2999
03/01/2011 02:00,1.797,290.554,10.13,-3.59378,1.918,,61.1
03/01/2011 03:00,1.73614,286.275,12.94,-3.59377,1.454,,64.7
03/01/2011 04:00,1.80509,285.155,26.63,-3.73146,1.222,,65.7
03/01/2011 05:00,1.87404,284.117,11.8,-3.86915,1.087,,66.73
03/01/2011 06:00,1.94298,283.153,10.35,-4.00684,0.990999,,67.6299
03/01/2011 07:00,2.02312,276.688,21.2,-3.9674,1.135,,67.7699
03/01/2011 08:00,2.10327,270.652,18.04,-3.92796,1.141,,64.83
03/01/2011 09:00,2.18341,265.125,15.23,-3.88852,1.534,7.34,58.5
03/01/2011 10:00,2.75649,256.229,16.72,-2.11115,1.756,32.16,54.43
03/01/2011 11:00,3.32957,250.353,18.12,-0.333784,2.035,58.55,52.09
03/01/2011 12:00,3.90266,246.263,16.22,1.44358,2.338,112.8,44.62
03/01/2011 13:00,3.66623,246.974,15.39,1.11339,2.629,126.1,43.72
03/01/2011 14:00,3.4298,247.784,19.7,0.783202,2.405,84.2999,55.93
03/01/2011 15:00,3.19337,248.713,16.04,0.453012,2.122,30.64,58.6299
03/01/2011 16:00,3.40983,245.114,17.93,-0.290629,1.888,2.756,59.1
03/01/2011 17:00,3.62629,241.937,14.62,-1.03427,0.898,,64.1299
03/01/2011 18:00,3.84274,239.127,16.13,-1.77791,0.302,,66.97
03/01/2011 19:00,4.20992,239.693,19.07,-1.61417,0.000999998,,70.6
03/01/2011 20:00,4.5771,240.169,17.59,-1.45042,-0.313,,72.8999
03/01/2011 21:00,4.94427,240.574,18.5,-1.28668,-0.584,,73.5
03/01/2011 22:00,5.48044,242.793,16.69,-1.07862,0.0819999,0.21,71.5
03/01/2011 23:00,6.01661,244.618,17.42,-0.870566,0.811,,64.11
04/01/2011 00:00,6.55279,246.142,14.5,-0.662509,1.163,,66.1699
04/01/2011 01:00,6.86027,247.307,17.77,-0.301007,0.947,,71.2999
04/01/2011 02:00,7.16776,248.373,18.39,0.0604955,1.351,,72.2
04/01/2011 03:00,7.47523,249.35,18.05,0.421998,1.139,,72.5
04/01/2011 04:00,7.55925,249.023,17.7,0.59334,1.259,,74
04/01/2011 05:00,7.64326,248.702,23.52,0.764681,1.328,,77.7999
04/01/2011 06:00,7.72726,248.388,17.09,0.936023,1.405,,81.8999
04/01/2011 07:00,7.67271,245.898,14.35,1.11148,1.59,,83.3999
04/01/2011 08:00,7.61816,243.366,16.24,1.28693,1.537,,85.3999
04/01/2011 09:00,7.56362,240.803,20.77,1.46238,1.712,6.212,86.6
04/01/2011 10:00,7.81836,243.038,14.77,2.11569,2.597,44.77,86.6
04/01/2011 11:00,8.0731,245.134,25.13,2.769,3.233,150.1,85
04/01/2011 12:00,8.32785,247.1,45.3199,3.42231,5.25999,153.7,77.7999
04/01/2011 13:00,7.89426,243.173,16.24,3.80093,4.934,48.1,79.6
04/01/2011 14:00,7.46068,238.76,51.2599,4.17956,5.352,37.6,80.5
04/01/2011 15:00,7.02709,233.831,21.75,4.55818,6.071,40.23,78.6
04/01/2011 16:00,6.92465,230.816,21.68,4.54404,5.836,3.071,79.7
04/01/2011 17:00,6.82221,227.701,21.87,4.52991,5.83099,,83.2
04/01/2011 18:00,6.71977,224.5,16.87,4.51577,6.294,0.198,81.7999
04/01/2011 19:00,6.74223,221.619,16.99,4.52575,6.099,,80.5
04/01/2011 20:00,6.7647,218.75,75.6,4.53573,5.685,0.037,82.3999
04/01/2011 21:00,6.78717,215.907,47.8799,4.54572,5.613,,83.7
04/01/2011 22:00,6.87303,214.634,17.73,4.33782,5.88599,,81.2
04/01/2011 23:00,6.9589,213.392,17.87,4.12994,6.155,0.283,83.6
05/01/2011 00:00,7.04477,212.18,16.08,3.92205,6.517,,80.7999
05/01/2011 01:00,7.84719,214.326,18.51,4.01396,6.432,,84.1
05/01/2011 02:00,8.64961,216.076,18,4.10588,6.505,,84.6
05/01/2011 03:00,9.45203,217.527,18.47,4.19781,6.406,,85.2999
05/01/2011 04:00,8.42058,220.83,17.24,3.74449,6.411,0.103,86.2
