Time,W Spd m/s,W Dir,STD W Dir,Temp 2m,Temp 8m,Glob Rad W/m2,Rel Hum %
01/01/2019 01:00,7.48,271.8,9.58,9.63999,9.89999,,81.4
01/01/2019 02:00,4.851,257,16.54,9.445,9.77,,83
01/01/2019 03:00,4.541,295.2,17.48,9.722,10.02,,83.8
01/01/2019 04:00,6.75,290.9,13.91,9.752,10.06,,86.1
01/01/2019 05:00,4.083,295,18.85,9.924,10.32,,82.2
01/01/2019 06:00,5.752,290,13.69,10.262,10.51,,82.7
01/01/2019 07:00,4.048,295.1,16.54,10.185,10.5,,83.1
01/01/2019 08:00,4.574,295,15.34,10.012,10.29,,83.1
01/01/2019 09:00,3.291,315.5,22.42,9.54,9.86,17.51,83
01/01/2019 10:00,4.289,344.6,13.8,8.616,8.89,39.16,71
01/01/2019 11:00,3.362,356,17.14,7.529,7.88,58.81,68.26
01/01/2019 12:00,3.892,354.3,15.49,8.228,8.44,89.6,68.41
01/01/2019 13:00,3.163,11.11,17.26,8.68201,8.74001,172.8,61.46
01/01/2019 14:00,3.324,344,16.98,8.352,8.56,121.4,58.82
01/01/2019 15:00,3.617,347.4,16.98,7.585,7.87,44.03,59.63
01/01/2019 16:00,2.449,359.1,15.36,6.315,6.624,2.718,63.96
01/01/2019 17:00,2.82,350.6,12.7,5.546,5.954,,67.01
01/01/2019 18:00,3.457,11.73,14.93,5.675,6.051,,65.71
01/01/2019 19:00,3.226,351.7,14.88,4.886,5.238,,59.46
01/01/2019 20:00,2.647,340.1,12.73,4.383,4.83,,59.46
01/01/2019 21:00,2.434,327.5,12.28,3.856,4.34,,62.74
01/01/2019 22:00,2.049,324.8,14.37,4.283,4.735,,61.83
01/01/2019 23:00,1.963,327.3,18.83,4.184,4.682,,61.28
02/01/2019 00:00,1.578,339.5,14.72,4.494,4.975,,57.91
02/01/2019 01:00,0.853,346.2,18.74,4.553,4.918,,60.3
02/01/2019 02:00,2.103,321.7,10.68,4.315,4.762,,62.03
02/01/2019 03:00,2.296,6.638,19.86,4.31,4.815,,60.44
02/01/2019 04:00,2.667,353.3,16.86,4.46,4.859,,62.64
02/01/2019 05:00,2.4,334.6,15.81,4.032,4.517,,63.89
02/01/2019 06:00,1.538,9.95,14.18,3.922,4.416,,65.6801
02/01/2019 07:00,2.721,332.6,10.7,3.672,4.161,,67.84
02/01/2019 08:00,2.966,334.5,12.24,3.563,4.048,,69.7
02/01/2019 09:00,2.659,355.7,16.06,3.652,4.188,13.56,68.59
02/01/2019 10:00,2.74,347.9,15.12,3.553,3.958,46.44,70.7
02/01/2019 11:00,2.469,0.409,21.19,4.091,4.63,83.9,68.38
02/01/2019 12:00,2.164,352.8,18.88,4.722,5.13,111.8,68.24
02/01/2019 13:00,1.95,14.73,21.6,4.646,5.116,69.58,66.55
02/01/2019 14:00,2.601,15.13,15.4,4.512,4.971,62.53,68.38
02/01/2019 15:00,1.946,18.69,15.7,4.148,4.6,37,72.9
02/01/2019 16:00,0.763,324.7,14.12,4.05,4.572,2.366,70.9
02/01/2019 17:00,0.067,342.9,2.692,3.87,4.5,,70.1
02/01/2019 18:00,0.776,68.87,8.44,3.974,4.177,,72.7
02/01/2019 19:00,0,0,0,3.374,3.841,0.051,75
02/01/2019 20:00,0.369,147.9,1.641,3.426,3.698,,78.2
02/01/2019 21:00,0.09,83.3,0,3.325,3.499,,79.6
02/01/2019 22:00,0.439,124,16.82,3.191,3.506,,80.1
02/01/2019 23:00,1.237,252.4,14.71,3.512,4.175,,59.26
03/01/2019 00:00,2.003,254.5,16.09,3.805,4.251,,63.78
03/01/2019 01:00,1.461,282.5,18.76,3.494,3.968,,64.97
03/01/2019 02:00,1.965,265.2,10.58,3.261,3.748,,63.92
03/01/2019 03:00,1.621,256.2,17.5,3.117,3.628,,61.39
03/01/2019 04:00,1.562,265.8,11.63,2.935,3.414,,61.29
03/01/2019 05:00,2.179,297,18.71,2.758,3.214,,61.67
03/01/2019 06:00,1.337,290.9,30.82,2.422,3.007,,62.59
03/01/2019 07:00,1.776,285.2,20.31,2.393,2.989,,61.24
03/01/2019 08:00,1.122,300.2,30.72,2.221,2.818,,60.9
03/01/2019 09:00,1.594,274.8,26.51,2.31,2.868,7.49,61.3
03/01/2019 10:00,2.196,274.8,14.15,2.466,2.987,44.12,60.56
03/01/2019 11:00,2.486,262.7,12.87,2.574,3.013,68.6,60.26
03/01/2019 12:00,1.756,320.4,22.73,2.504,2.947,78.1,61.17
03/01/2019 13:00,1.557,91.2,16.61,2.645,3.153,54.69,63.97
03/01/2019 14:00,1.53,111.3,14.32,2.744,3.14,48.31,66.35
03/01/2019 15:00,0.618,112.6,14.73,2.419,2.82,31.91,67.17
03/01/2019 16:00,1.472,146.8,18.58,2.044,2.327,2.967,69.74
03/01/2019 17:00,0.771,121.4,4.156,1.888,1.987,,73.2
03/01/2019 18:00,0.673,158.6,6.282,1.81,2.048,,74.7
03/01/2019 19:00,0.252,113.6,2.434,1.82,2.014,,76.6
03/01/2019 20:00,0.284,245.5,12.43,1.09,1.554,,78.5
03/01/2019 21:00,0.95,254.9,9.74001,1.011,1.733,0.632,78.2
03/01/2019 22:00,0.462,126.2,14.82,1.621,1.813,,81.6
03/01/2019 23:00,0.839,246.3,25.44,1.902,2.297,,79.7
04/01/2019 00:00,2.024,260.9,7.03,2.291,2.779,,76.2
04/01/2019 01:00,1.522,270.8,13.28,2.418,2.9,,76.2
04/01/2019 02:00,1.825,273.5,9.64999,2.385,2.834,,76.3
04/01/2019 03:00,1.564,265.1,11.82,2.53,2.988,,76.2
04/01/2019 04:00,2.043,291,16.91,2.47,2.927,,75.8
04/01/2019 05:00,3.536,283.1,12.52,2.397,2.806,,75
04/01/2019 06:00,4.255,284.2,11.19,2.468,2.902,,74.1
04/01/2019 07:00,3.411,285.9,11.05,2.52,2.946,,73.4
04/01/2019 08:00,2.535,283.8,10.95,2.569,3.057,,73.5
04/01/2019 09:00,2.932,277.6,17.01,2.686,3.16,7.44,73.3
04/01/2019 10:00,3.497,282.6,12.26,3.096,3.539,22.54,72.4
04/01/2019 11:00,4.313,280.7,10.57,3.294,3.775,44.69,71.6
04/01/2019 12:00,2.626,285.9,16.31,3.563,4.007,37.38,71.8
04/01/2019 13:00,3.605,287.5,12.7,3.452,3.876,34.31,72.7
04/01/2019 14:00,2.632,281.4,14.64,3.824,4.257,29.15,73.3
04/01/2019 15:00,2.892,263.5,12.68,3.788,4.199,19.99,74.6
04/01/2019 16:00,2.168,279.3,17.72,3.858,4.333,1.927,75.7
04/01/2019 17:00,3.038,279.1,11.07,3.985,4.386,,77.2
04/01/2019 18:00,2.478,283.5,14.97,4.029,4.432,,77.9
04/01/2019 19:00,1.63,283.4,14.66,4.157,4.558,,78.8
04/01/2019 20:00,0.187,310.1,4.039,4.009,4.53,,78.9
04/01/2019 21:00,0.767,318,6.511,4.128,4.619,,77.6
04/01/2019 22:00,0.011,294.4,4.791,4.104,4.643,,78
04/01/2019 23:00,0,0,0,3.897,4.468,,79.2
05/01/2019 00:00,0.0779999,277.1,3.381,3.956,4.495,,79.7
05/01/2019 01:00,1.618,294.6,12.13,4.322,4.83,,77.8
05/01/2019 02:00,4.227,304,18.22,4.644,5.02,,74
05/01/2019 03:00,3.33,299,15.69,3.908,4.345,,74.5
05/01/2019 04:00,1.82,327.7,13.29,4.421,4.741,,75.4
05/01/2019 05:00,2.696,336.2,10.33,4.365,4.781,,75.8
05/01/2019 06:00,2.859,322.8,13.58,4.585,4.947,,75.2
05/01/2019 07:00,2.012,307.3,16.42,4.341,4.829,,75.6
05/01/2019 08:00,2.595,297,20.02,4.765,5.182,,74.3
05/01/2019 09:00,2.589,309,19.1,4.96,5.346,6.648,74.3
05/01/2019 10:00,2.384,308.2,16.5,5.123,5.556,22.38,74.4
05/01/2019 11:00,0.98,318.1,13.77,5.505,5.933,37.62,74.2
05/01/2019 12:00,2.311,301.9,16.31,5.833,6.229,47.42,74.1
05/01/2019 13:00,2.217,288.7,14.61,6.049,6.382,62.48,73.3
05/01/2019 14:00,0.792,131.1,5.372,6.341,6.203,37.08,76.5
05/01/2019 15:00,1.37,125.7,7.85,4.43,4.751,22.7,78.3
05/01/2019 16:00,3.59,292.1,19.7,5.662,6.631,2.91,71.2
05/01/2019 17:00,4.751,277,14.01,6.839,7.17,,71.9
05/01/2019 18:00,4.523,289.5,14.51,6.463,6.806,,70.1
05/01/2019 19:00,3.728,288.1,15.39,6.436,6.811,,72.2
05/01/2019 20:00,3.447,288.6,15.06,6.534,6.904,,71.2
05/01/2019 21:00,2.134,271.7,13.22,6.458,6.811,,73
05/01/2019 22:00,3.428,293.5,13.64,6.037,6.402,,77.1
05/01/2019 23:00,4.144,288.3,13.91,5.841,6.201,,80.1
06/01/2019 00:00,3.033,289.9,13.86,5.688,6.044,,81.9
06/01/2019 01:00,3.524,287.1,13.25,5.811,6.241,,83
06/01/2019 02:00,4.182,283.2,13.88,6.723,7.03,,84.2
06/01/2019 03:00,4.3,282.2,15.35,6.936,7.27,,82.9
06/01/2019 04:00,4.049,283.3,13.51,7.103,7.45,,82.7
06/01/2019 05:00,4.344,286.3,13.06,7.487,7.81,,82.3
06/01/2019 06:00,5.435,290.6,11.43,7.745,8.06,,82.2
